officegoods_customer_id,bureau_customer_id,consolidated_customer_id,customer_name
A31730962,2800bdd8-0917-475c-a785-fc5b82d13932,f264e4a1-f883-4ca5-83a3-10f95839c068,"Maggio, Gislason and Stiedemann"
A21171160,36a84e1b-605b-4f79-9bc0-6b442cdcff73,c45dadaa-e4d9-4801-b63d-25621b26326e,Steuber LLC
,007ac6ae-e8f9-4fde-a39b-ba113500be37,5e195961-c31f-4299-850c-39cfef378a5b,"Crist, Rau and Borer"
A34162889,51c0646e-38a0-4f91-afd5-f4e5cf949a90,f3efa146-88a1-44bd-9581-8619e5e92bf4,Cummerata Inc
A5184138,,fc00863b-9823-4da9-bb12-ee178caf48b0,Schinner and Sons
,a4a3c279-5b23-49ee-8e48-6fcb4c60098d,78c450c7-f356-4970-96e0-57e6f98240a3,Waelchi LLC
A41930095,48c3e0d0-e0f6-4df1-8f2c-6b0f00a4ea18,da833a32-127d-4ca5-a8e3-eac0003cb60f,Muller Inc
A50780956,4eb97ef2-2546-4eee-8d57-ee0cbb763b5a,861eb39b-9f54-46b0-b3fc-3c611c8f747d,"Pfeffer, Torphy and Homenick"
,6781013d-a846-40c8-9413-b6fa92947d68,6667680a-7c9e-11ee-b962-0242ac120002,ACME Consolidated US
A16737082,,6a0f29f5-5c51-479f-a1de-677c4a6f6bbd,ACME Consolidated Europe
A71882351,,23b721e2-ac9a-47d6-83d9-940b388cba01,ACME LATAM
,65720183-240e-469c-9c32-67c436b9e55b,58ef031d-f89b-4938-93e6-3406a243eca5,ACME Australia
A97740554,,51e98bd7-ed38-47b1-b8ec-59581d3e4bcb,ACME North America
,b4ed73b5-81d4-42e2-8135-1c322fe83b73,85084e68-c47c-4b31-80a4-425397a2927c,ACME Japan
